feature,transformation
cell_{channel}_haralick_5_0,log(feature)
cell_{channel}_haralick_5_1,log(feature)
cell_{channel}_haralick_5_3,log(feature)
cell_{channel}_haralick_5_6,log(feature)
cell_{channel}_haralick_5_9,log(feature)
cell_{channel}_radial_cv_0,log(feature)
cell_{channel}_radial_cv_1,log(feature)
cell_{channel}_radial_cv_2,log(feature)
cell_{channel}_radial_cv_3,log(feature)
cell_{channel}_weighted_hu_moments_0,log(feature)
cell_{channel}_weighted_hu_moments_1,log(feature)
cell_{channel}_weighted_hu_moments_2,log(feature)
cell_{channel}_weighted_hu_moments_3,log(feature)
cell_compactness,log(feature-1)
cell_hu_moments_0,log(feature)
cell_hu_moments_1,log(feature)
cell_hu_moments_2,log(feature)
cell_hu_moments_3,log(feature)
cell_overlap_{channel1}_{channel2},log(1-feature)
nucleus_{channel}_haralick_5_0,log(feature)
nucleus_{channel}_haralick_5_1,log(feature)
nucleus_{channel}_haralick_5_3,log(feature)
nucleus_{channel}_haralick_5_6,log(feature)
nucleus_{channel}_haralick_5_9,log(feature)
nucleus_{channel}_radial_cv_0,log(feature)
nucleus_{channel}_radial_cv_1,log(feature)
nucleus_{channel}_radial_cv_2,log(feature)
nucleus_{channel}_radial_cv_3,log(feature)
nucleus_{channel}_weighted_hu_moments_0,log(feature)
nucleus_{channel}_weighted_hu_moments_1,log(feature)
nucleus_{channel}_weighted_hu_moments_2,log(feature)
nucleus_{channel}_weighted_hu_moments_3,log(feature)
nucleus_compactness,log(feature-1)
nucleus_hu_moments_0,log(feature)
nucleus_hu_moments_1,log(feature)
nucleus_hu_moments_2,log(feature)
nucleus_hu_moments_3,log(feature)
nucleus_overlap_{channel1}_{channel2},log(1-feature)
nucleus_zernike_1_1,log(feature)
nucleus_zernike_3_1,log(feature)
nucleus_zernike_3_3,log(feature)
nucleus_zernike_4_2,log(feature)
nucleus_zernike_4_4,log(feature)
nucleus_zernike_5_1,log(feature)
nucleus_zernike_5_3,log(feature)
nucleus_zernike_5_5,log(feature)
nucleus_zernike_6_4,log(feature)
nucleus_zernike_6_6,log(feature)
nucleus_zernike_7_1,log(feature)
nucleus_zernike_7_3,log(feature)
nucleus_zernike_7_5,log(feature)
nucleus_zernike_7_7,log(feature)
nucleus_zernike_8_4,log(feature)
nucleus_zernike_8_6,log(feature)
nucleus_zernike_8_8,log(feature)
nucleus_zernike_9_1,log(feature)
nucleus_zernike_9_3,log(feature)
nucleus_zernike_9_5,log(feature)
nucleus_zernike_9_7,log(feature)
nucleus_zernike_9_9,log(feature)
cytoplasm_{channel}_haralick_5_0,log(feature)
cytoplasm_{channel}_haralick_5_1,log(feature)
cytoplasm_{channel}_haralick_5_3,log(feature)
cytoplasm_{channel}_haralick_5_6,log(feature)
cytoplasm_{channel}_haralick_5_9,log(feature)
cytoplasm_{channel}_radial_cv_0,log(feature)
cytoplasm_{channel}_radial_cv_1,log(feature)
cytoplasm_{channel}_radial_cv_2,log(feature)
cytoplasm_{channel}_radial_cv_3,log(feature)
cytoplasm_{channel}_weighted_hu_moments_0,log(feature)
cytoplasm_{channel}_weighted_hu_moments_1,log(feature)
cytoplasm_{channel}_weighted_hu_moments_2,log(feature)
cytoplasm_{channel}_weighted_hu_moments_3,log(feature)
cytoplasm_compactness,log(feature-1)
cytoplasm_hu_moments_0,log(feature)
cytoplasm_hu_moments_1,log(feature)
cytoplasm_hu_moments_2,log(feature)
cytoplasm_hu_moments_3,log(feature)
cytoplasm_overlap_{channel1}_{channel2},log(1-feature)